image,imageAlt,link,linkText,text,dataAttributes
"https://down-vn.img.susercontent.com/file/7df1cc7019d44eba276c02f9f3f3823a_tn.webp","https://shopee.vn/Set%203%20C%C3%A2y%20Son%20Kem%20L%C3%AC%20Herorange%20Fluffy%20Lip%20Glaze","https://shopee.vn/Set-3-C%C3%A2y-Son-Kem-L%C3%AC-Herorange-Fluffy-Lip-Glaze-i.74150926.8202843589?extraParams=%7B%22display_model_id%22%3A52355179757%2C%22model_selection_logic%22%3A3%7D&sp_atk=18f917b1-caa0-4791-afb8-b3161e448abe&xptdk=18f917b1-caa0-4791-afb8-b3161e448abe","https://shopee.vn/Set%203%20C%C3%A2y%20Son%20Kem%20L%C3%AC%20Herorange%20Fluffy%20Lip%20Glaze56.000%E2%82%AB-7%Mua%20gi%C3%A1%20b%C3%A1n%20bu%C3%B4n/%20b%C3%A1n%20s%E1%BB%894.8%C4%90%C3%A3%20b%C3%A1n%2010k+Ng%C3%A0y%20Mai%2012:00H%C3%A0%20N%E1%BB%99i","Set 3 Cây Son Kem Lì Herorange Fluffy Lip Glaze56.000₫-7%Mua giá bán buôn/ bán sỉ4.8Đã bán 10k+Ngày Mai 12:00Hà NộiTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/cn-11134207-7r98o-lw3u60374h0jff_tn.webp","https://shopee.vn/Gege%20bear%20Son%20M%C3%B4i%20D%E1%BA%A1ng%20Th%E1%BA%A1ch%20Trong%20Su%E1%BB%91t%20Ch%E1%BB%91ng%20N%C6%B0%E1%BB%9Bc%20Kh%C3%B4ng%20D%C3%ADnh%20C%E1%BB%91c%20D%C6%B0%E1%BB%A1ng%20%E1%BA%A8m%20L%C3%A0m%20C%C4%83ng%20M%E1%BB%8Dng%20M%C3%B4i","https://shopee.vn/Gege-bear-Son-M%C3%B4i-D%E1%BA%A1ng-Th%E1%BA%A1ch-Trong-Su%E1%BB%91t-Ch%E1%BB%91ng-N%C6%B0%E1%BB%9Bc-Kh%C3%B4ng-D%C3%ADnh-C%E1%BB%91c-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-L%C3%A0m-C%C4%83ng-M%E1%BB%8Dng-M%C3%B4i-i.663179089.28551733573?extraParams=%7B%22display_model_id%22%3A215288021700%2C%22model_selection_logic%22%3A3%7D&sp_atk=800f3a9e-7b7e-403b-b02b-d910cfec3ce2&xptdk=800f3a9e-7b7e-403b-b02b-d910cfec3ce2","https://shopee.vn/Gege%20bear%20Son%20M%C3%B4i%20D%E1%BA%A1ng%20Th%E1%BA%A1ch%20Trong%20Su%E1%BB%91t%20Ch%E1%BB%91ng%20N%C6%B0%E1%BB%9Bc%20Kh%C3%B4ng%20D%C3%ADnh%20C%E1%BB%91c%20D%C6%B0%E1%BB%A1ng%20%E1%BA%A8m%20L%C3%A0m%20C%C4%83ng%20M%E1%BB%8Dng%20M%C3%B4i18.000%E2%82%AB-55%8%%20Gi%E1%BA%A3m4.3%C4%90%C3%A3%20b%C3%A1n%205k+3%20-%205%20ng%C3%A0yTP.%20H%E1%BB%93%20Ch%C3%AD%20Minh","Gege bear Son Môi Dạng Thạch Trong Suốt Chống Nước Không Dính Cốc Dưỡng Ẩm Làm Căng Mọng Môi18.000₫-55%8% Giảm4.3Đã bán 5k+3 - 5 ngàyTP. Hồ Chí MinhTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/0f4cfdd469f52c6b36ee574ca5b4999a_tn.webp","https://shopee.vn/[Sale%2050%]%20Son%20Kiko%20Gossamer%20Emotion%20Creamy","https://shopee.vn/-Sale-50-Son-Kiko-Gossamer-Emotion-Creamy-i.8704911.1093029053?extraParams=%7B%22display_model_id%22%3A82606532810%2C%22model_selection_logic%22%3A3%7D&sp_atk=abcb270e-a33c-483a-9201-64b9b8022456&xptdk=abcb270e-a33c-483a-9201-64b9b8022456","https://shopee.vn/[Sale%2050%]%20Son%20Kiko%20Gossamer%20Emotion%20Creamy250.000%E2%82%AB5.0%C4%90%C3%A3%20b%C3%A1n%20791Ng%C3%A0y%20Mai%2012:00H%C3%A0%20N%E1%BB%99i","[Sale 50%] Son Kiko Gossamer Emotion Creamy250.000₫5.0Đã bán 791Ngày Mai 12:00Hà NộiTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/vn-11134207-7qukw-li2sgasjpz4c92_tn.webp","https://shopee.vn/Son%20Th%E1%BB%8Fi%203CE%20Blur%20Matte%20Lipstick%20Newtro%20Wave%20T%C3%B4ng%20M%C3%A0u%20H%E1%BB%93ng%20D%C3%A2u%20T%C3%B4n%20Da%20V%C3%A0%20D%E1%BB%85%20D%C3%B9ng%204g%20Ch%E1%BA%A5t%20Son%20M%E1%BB%8Bn%20L%C3%AC%20Nh%E1%BA%B9","https://shopee.vn/Son-Th%E1%BB%8Fi-3CE-Blur-Matte-Lipstick-Newtro-Wave-T%C3%B4ng-M%C3%A0u-H%E1%BB%93ng-D%C3%A2u-T%C3%B4n-Da-V%C3%A0-D%E1%BB%85-D%C3%B9ng-4g-Ch%E1%BA%A5t-Son-M%E1%BB%8Bn-L%C3%AC-Nh%E1%BA%B9-i.814435446.23771169354?extraParams=%7B%22display_model_id%22%3A231715546781%2C%22model_selection_logic%22%3A3%7D&sp_atk=5132e81c-9a91-4eae-a560-039675b38abc&xptdk=5132e81c-9a91-4eae-a560-039675b38abc","https://shopee.vn/Son%20Th%E1%BB%8Fi%203CE%20Blur%20Matte%20Lipstick%20Newtro%20Wave%20T%C3%B4ng%20M%C3%A0u%20H%E1%BB%93ng%20D%C3%A2u%20T%C3%B4n%20Da%20V%C3%A0%20D%E1%BB%85%20D%C3%B9ng%204g%20Ch%E1%BA%A5t%20Son%20M%E1%BB%8Bn%20L%C3%AC%20Nh%E1%BA%B9339.900%E2%82%AB-32%5.0%C4%90%C3%A3%20b%C3%A1n%2064Ng%C3%A0y%20Mai%2012:00H%C3%A0%20N%E1%BB%99i","Son Thỏi 3CE Blur Matte Lipstick Newtro Wave Tông Màu Hồng Dâu Tôn Da Và Dễ Dùng 4g Chất Son Mịn Lì Nhẹ339.900₫-32%5.0Đã bán 64Ngày Mai 12:00Hà NộiTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/eef0d73d225bb60f96bec0cf24afa303_tn.webp","https://shopee.vn/Set%20Son%2010%20C%C3%A2y%20ErshiQi%20velvet%20L%C3%A2u%20Tr%C3%B4i","https://shopee.vn/Set-Son-10-C%C3%A2y-ErshiQi-velvet-L%C3%A2u-Tr%C3%B4i-i.227825086.10610164953?extraParams=%7B%22display_model_id%22%3A92637359656%2C%22model_selection_logic%22%3A3%7D&sp_atk=508c6628-88c9-449b-9694-ad409b79839d&xptdk=508c6628-88c9-449b-9694-ad409b79839d","https://shopee.vn/Set%20Son%2010%20C%C3%A2y%20ErshiQi%20velvet%20L%C3%A2u%20Tr%C3%B4i69.900%E2%82%AB4.7%C4%90%C3%A3%20b%C3%A1n%202k+2%20-%203%20ng%C3%A0yH%C3%A0%20N%E1%BB%99i","Set Son 10 Cây ErshiQi velvet Lâu Trôi69.900₫4.7Đã bán 2k+2 - 3 ngàyHà NộiTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/vn-11134207-7ras8-m4pzs2mrje2v6f_tn.webp","https://shopee.vn/Son%20Romand%20Juicy%20Tint%2023%20Nucadamia%20c%C4%83ng%20m%E1%BB%8Dng%20m%C3%B4i","https://shopee.vn/Son-Romand-Juicy-Tint-23-Nucadamia-c%C4%83ng-m%E1%BB%8Dng-m%C3%B4i-i.58282982.9975703565?extraParams=%7B%22display_model_id%22%3A108697115115%2C%22model_selection_logic%22%3A3%7D&sp_atk=6eb4ef7f-9c64-4f63-892c-543c523b89b7&xptdk=6eb4ef7f-9c64-4f63-892c-543c523b89b7","https://shopee.vn/Son%20Romand%20Juicy%20Tint%2023%20Nucadamia%20c%C4%83ng%20m%E1%BB%8Dng%20m%C3%B4i189.000%E2%82%AB-24%Gi%E1%BA%A3m%2035k%E2%82%AB#ShopThinhHanh4.9%C4%90%C3%A3%20b%C3%A1n%20100k+Ng%C3%A0y%20Mai%2021:00B%E1%BA%AFc%20Ninh","Son Romand Juicy Tint 23 Nucadamia căng mọng môi189.000₫-24%Giảm 35k₫#ShopThinhHanh4.9Đã bán 100k+Ngày Mai 21:00Bắc NinhTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/vn-11134207-7r98o-lrzae613sxp565_tn.webp","https://shopee.vn/Son%20m%C3%B4i%20ch%C3%ADnh%20h%C3%A3ng%20Firin%20son%20th%E1%BB%8Fi%20l%C3%AC%20kh%C3%B4ng%20ch%C3%AC%20%C4%91%E1%BB%99%20b%C3%A1m%20t%E1%BB%91t%20l%C3%A2u%20tr%C3%B4i%20l%C3%AAn%20m%C3%A0u%20chu%E1%BA%A9n%20d%C6%B0%E1%BB%A1ng%20m%C3%B4i%20m%E1%BB%81m%20m%E1%BB%8Bn","https://shopee.vn/Son-m%C3%B4i-ch%C3%ADnh-h%C3%A3ng-Firin-son-th%E1%BB%8Fi-l%C3%AC-kh%C3%B4ng-ch%C3%AC-%C4%91%E1%BB%99-b%C3%A1m-t%E1%BB%91t-l%C3%A2u-tr%C3%B4i-l%C3%AAn-m%C3%A0u-chu%E1%BA%A9n-d%C6%B0%E1%BB%A1ng-m%C3%B4i-m%E1%BB%81m-m%E1%BB%8Bn-i.401331761.24314393156?extraParams=%7B%22display_model_id%22%3A300468437447%2C%22model_selection_logic%22%3A3%7D&sp_atk=f5cc3992-4676-422c-b1ae-ffbdfd4a0a73&xptdk=f5cc3992-4676-422c-b1ae-ffbdfd4a0a73","https://shopee.vn/Son%20m%C3%B4i%20ch%C3%ADnh%20h%C3%A3ng%20Firin%20son%20th%E1%BB%8Fi%20l%C3%AC%20kh%C3%B4ng%20ch%C3%AC%20%C4%91%E1%BB%99%20b%C3%A1m%20t%E1%BB%91t%20l%C3%A2u%20tr%C3%B4i%20l%C3%AAn%20m%C3%A0u%20chu%E1%BA%A9n%20d%C6%B0%E1%BB%A1ng%20m%C3%B4i%20m%E1%BB%81m%20m%E1%BB%8Bn239.000%E2%82%AB-40%5.0%C4%90%C3%A3%20b%C3%A1n%2043%3C%202%20Ng%C3%A0yH%C3%A0%20N%E1%BB%99i","Son môi chính hãng Firin son thỏi lì không chì độ bám tốt lâu trôi lên màu chuẩn dưỡng môi mềm mịn239.000₫-40%5.0Đã bán 43< 2 NgàyHà NộiTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/vn-11134201-7ra0g-m8f2w54yjbla54_tn.webp","https://shopee.vn/[MINI]%20Son%20th%E1%BB%8Fi%20l%C3%AC%20bi%E1%BB%83u%20t%C6%B0%E1%BB%A3ng%20MACXIMAL%20Silky%20Matte%20Lipstick%20b%E1%BB%81n%20m%C3%A0u%20m%E1%BB%8Bn%20l%C3%AC%20nh%C6%B0%20nhung%20l%C3%AAn%20t%E1%BB%9Bi%2012H","https://shopee.vn/-MINI-Son-th%E1%BB%8Fi-l%C3%AC-bi%E1%BB%83u-t%C6%B0%E1%BB%A3ng-MACXIMAL-Silky-Matte-Lipstick-b%E1%BB%81n-m%C3%A0u-m%E1%BB%8Bn-l%C3%AC-nh%C6%B0-nhung-l%C3%AAn-t%E1%BB%9Bi-12H-i.1299246379.27556236739?extraParams=%7B%22display_model_id%22%3A207677225809%2C%22model_selection_logic%22%3A3%7D&sp_atk=e0e6fb1f-6f34-451a-9b70-381649a27c59&xptdk=e0e6fb1f-6f34-451a-9b70-381649a27c59","https://shopee.vn/[MINI]%20Son%20th%E1%BB%8Fi%20l%C3%AC%20bi%E1%BB%83u%20t%C6%B0%E1%BB%A3ng%20MACXIMAL%20Silky%20Matte%20Lipstick%20b%E1%BB%81n%20m%C3%A0u%20m%E1%BB%8Bn%20l%C3%AC%20nh%C6%B0%20nhung%20l%C3%AAn%20t%E1%BB%9Bi%2012H520.000%E2%82%AB4.8%C4%90%C3%A3%20b%C3%A1n%202k+TP.%20H%E1%BB%93%20Ch%C3%AD%20Minh","[MINI] Son thỏi lì biểu tượng MACXIMAL Silky Matte Lipstick bền màu mịn lì như nhung lên tới 12H520.000₫4.8Đã bán 2k+TP. Hồ Chí MinhTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/cn-11134207-7ras8-mcn1idd0snbf6c_tn.webp","https://shopee.vn/O.two.o%20Son%20M%C3%B4i%20Satin%20D%C6%B0%E1%BB%A1ng%20%E1%BA%A8m%20M%E1%BB%81m%20M%C6%B0%E1%BB%A3t%20&%20Tinh%20Ch%E1%BA%A5t%20B%C3%B3ng%20D%C6%B0%E1%BB%A1ng%20%E1%BA%A8m%20L%C3%A2u%20D%C3%A0i%20Kh%C3%B4ng%20D%C3%ADnh%20M%C3%B4i%203.8g","https://shopee.vn/O.two.o-Son-M%C3%B4i-Satin-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-M%E1%BB%81m-M%C6%B0%E1%BB%A3t-Tinh-Ch%E1%BA%A5t-B%C3%B3ng-D%C6%B0%E1%BB%A1ng-%E1%BA%A8m-L%C3%A2u-D%C3%A0i-Kh%C3%B4ng-D%C3%ADnh-M%C3%B4i-3.8g-i.151371701.27266082865?extraParams=%7B%22display_model_id%22%3A251917209709%2C%22model_selection_logic%22%3A3%7D&sp_atk=ca03b37f-1d3c-4de0-aa0e-218a13cdeab4&xptdk=ca03b37f-1d3c-4de0-aa0e-218a13cdeab4","https://shopee.vn/O.two.o%20Son%20M%C3%B4i%20Satin%20D%C6%B0%E1%BB%A1ng%20%E1%BA%A8m%20M%E1%BB%81m%20M%C6%B0%E1%BB%A3t%20&%20Tinh%20Ch%E1%BA%A5t%20B%C3%B3ng%20D%C6%B0%E1%BB%A1ng%20%E1%BA%A8m%20L%C3%A2u%20D%C3%A0i%20Kh%C3%B4ng%20D%C3%ADnh%20M%C3%B4i%203.8g174.000%E2%82%AB-38%6%%20Gi%E1%BA%A3mMua%20%C4%91%E1%BB%83%20nh%E1%BA%ADn%20qu%C3%A04.9%C4%90%C3%A3%20b%C3%A1n%203k+2%20-%204%20ng%C3%A0y%C4%90%E1%BB%93ng%20Nai","O.two.o Son Môi Satin Dưỡng Ẩm Mềm Mượt & Tinh Chất Bóng Dưỡng Ẩm Lâu Dài Không Dính Môi 3.8g174.000₫-38%6% GiảmMua để nhận quà4.9Đã bán 3k+2 - 4 ngàyĐồng NaiTìm sản phẩm tương tự","{""sqe"":""item""}"
"https://down-vn.img.susercontent.com/file/vn-11134207-7ra0g-m8k0gekroepu46_tn.webp","https://shopee.vn/Son%20Kem%20M.O.I%20COSMETICS%20Matte%20Lasting%20Lip%20Tint%20Lollipops%20si%C3%AAu%20l%C3%AC%204g","https://shopee.vn/Son-Kem-M.O.I-COSMETICS-Matte-Lasting-Lip-Tint-Lollipops-si%C3%AAu-l%C3%AC-4g-i.302324991.29356385240?extraParams=%7B%22display_model_id%22%3A205989366584%2C%22model_selection_logic%22%3A3%7D&sp_atk=12cb03dd-f785-417e-93c3-701fd3fba1bb&xptdk=12cb03dd-f785-417e-93c3-701fd3fba1bb","https://shopee.vn/Son%20Kem%20M.O.I%20COSMETICS%20Matte%20Lasting%20Lip%20Tint%20Lollipops%20si%C3%AAu%20l%C3%AC%204g359.000%E2%82%AB-10%Gi%E1%BA%A3m%2015k%E2%82%AB3??.??0%E2%82%AB%201.2%20l%C3%BAc%2000:004.8%C4%90%C3%A3%20b%C3%A1n%201k+Ng%C3%A0y%20Mai%2012:00H%C3%A0%20N%E1%BB%99i","Son Kem M.O.I COSMETICS Matte Lasting Lip Tint Lollipops siêu lì 4g359.000₫-10%Giảm 15k₫3??.??0₫ 1.2 lúc 00:004.8Đã bán 1k+Ngày Mai 12:00Hà NộiTìm sản phẩm tương tự","{""sqe"":""item""}"
